"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total"
"2014"	"S12000033"	"Aberdeen City"	1.839675	0	2.279552	3.88283	0	17.702	25.704058
"2014"	"S12000034"	"Aberdeenshire"	822.422604	0	0.99841	13.956729	0	38.667795	876.045539
"2014"	"S12000041"	"Angus"	32.869596	0	4.76329	6.412352	0	11.598538	55.643776
"2014"	"S12000035"	"Argyll & Bute"	527.097247	0	558.147392	3.492483	0.086	0	1088.823122
"2014"	"S12000005"	"Clackmannanshire"	92.527903	0	0.217875	1.575287	0	0	94.321064
"2014"	"S12000006"	"Dumfries & Galloway"	649.519822	551.5165	482.384444	9.446001	0	340.265568	2033.132335
"2014"	"S12000042"	"Dundee City"	0.102361	0	0.987	2.007162	0	0	3.096522
"2014"	"S12000008"	"East Ayrshire"	413.123193	0	0.206329	2.835717	0	18.174	434.339239
"2014"	"S12000045"	"East Dunbartonshire"	0.030191	0	0	1.733149	0	0	1.76334
"2014"	"S12000010"	"East Lothian"	141.303348	0	0.112051	3.409387	0	37.962	182.786787
"2014"	"S12000011"	"East Renfrewshire"	693.590718	0	0	1.094944	0	0	694.685662
"2014"	"S12000036"	"Edinburgh City of"	8.823815	0	0.049457	0.729195	0	17.624825	27.227291
"2014"	"S12000013"	"Eilean Siar"	67.834114	0	6.106954	3.50816	0	2.914381	80.36361
"2014"	"S12000014"	"Falkirk"	1.076823	0	0	2.377371	0	71.356	74.810194
"2014"	"S12000047"	"Fife"	106.57555	2.594	4.736128	9.920306	0	340.418991	464.244974
"2014"	"S12000049"	"Glasgow City"	8.734599	0	0	4.860101	0	40.465925	54.060625
"2014"	"S12000017"	"Highland"	1973.467175	0	2994.626873	11.14292	0	89.97064	5069.207608
"2014"	"S12000018"	"Inverclyde"	1.057718	0	0.297515	0.728996	0	0	2.08423
"2014"	"S12000019"	"Midlothian"	63.488564	0	1.272159	2.107255	0	20.21	87.077978
"2014"	"S12000020"	"Moray"	671.965643	14.162667	0.336621	4.56187	0	63.7665	754.793301
"2014"	"S12000021"	"North Ayrshire"	320.86969	0	1.47212	2.770813	0	190.281	515.393623
"2014"	"S12000050"	"North Lanarkshire"	39.156135	0	0	4.198805	0	144.159434	187.514374
"2014"	"S12000023"	"Orkney Islands"	171.4105	0	0	1.215399	2.060467	0	174.686366
"2014"	"S12000048"	"Perth & Kinross"	498.259306	0	979.518989	7.165238	0	28.414562	1513.358096
"2014"	"S12000038"	"Renfrewshire"	0.035944	0	0	2.898134	0	0	2.934078
"2014"	"S12000026"	"Scottish Borders"	1309.876775	0	2.190653	8.297826	0	5.874544	1326.239798
"2014"	"S12000027"	"Shetland Islands"	20.473697	0	0.071481	0.145034	0	0	20.690212
"2014"	"S12000028"	"South Ayrshire"	572.752618	0	1.909593	2.934828	0	53.944578	631.541617
"2014"	"S12000029"	"South Lanarkshire"	1513.253153	0	95.820353	6.728826	0	68.703	1684.505332
"2014"	"S12000030"	"Stirling"	339.32024	0	318.221138	4.521161	0	4.94832	667.010858
"2014"	"S12000039"	"West Dunbartonshire"	0.03321	0	0	1.892768	0	19.808	21.733978
"2014"	"S12000040"	"West Lothian"	34.810291	0	0	3.795076	0	5.337	43.942367
"2015"	"S12000033"	"Aberdeen City"	3.06674	0	2.364108	5.393396	0	15.123101	25.947345
"2015"	"S12000034"	"Aberdeenshire"	1362.889209	0	1.374701	19.538123	0	42.381904	1426.183938
"2015"	"S12000041"	"Angus"	46.897357	0	5.068474	9.045719	0	12.580777	73.592328
"2015"	"S12000035"	"Argyll & Bute"	609.099019	0	569.215517	4.340113	0.186556	0	1182.841205
"2015"	"S12000005"	"Clackmannanshire"	101.344689	0	0.142301	2.072203	0	0	103.559193
"2015"	"S12000006"	"Dumfries & Galloway"	807.893339	522.603667	492.942472	10.819571	0	344.41183	2178.670878
"2015"	"S12000042"	"Dundee City"	0.118053	0	1.013	2.638407	0	0	3.76946
"2015"	"S12000008"	"East Ayrshire"	426.69823	0	0.211352	3.741827	0	17.130727	447.782136
"2015"	"S12000045"	"East Dunbartonshire"	0.033022	0	0	2.177733	0	0	2.210755
"2015"	"S12000010"	"East Lothian"	168.820319	0	0.114779	4.209983	0	39.238697	212.383778
"2015"	"S12000011"	"East Renfrewshire"	677.624482	0	0	1.327451	0	0	678.951934
"2015"	"S12000036"	"Edinburgh City of"	0.292698	0	0.765047	4.50305	0	18.045881	23.606677
"2015"	"S12000013"	"Eilean Siar"	124.879049	0	18.062783	0.898941	0	0.1745	144.015272
"2015"	"S12000014"	"Falkirk"	26.520873	0	1.307921	3.363381	0	58.664	89.856175
"2015"	"S12000047"	"Fife"	167.960214	17.184088	3.919	12.800837	0	439.508102	641.372241
"2015"	"S12000049"	"Glasgow City"	8.131673	0	0	6.768574	0	47.523617	62.423864
"2015"	"S12000017"	"Highland"	2383.90516	0	3264.933085	12.803033	0	112.326659	5773.967936
"2015"	"S12000018"	"Inverclyde"	4.1857	0	0.304759	1.045547	0	0	5.536007
"2015"	"S12000019"	"Midlothian"	76.670352	0	1.559417	2.65809	0	15.931768	96.819627
"2015"	"S12000020"	"Moray"	801.483277	0	0.482826	5.559777	0	66.838477	874.364358
"2015"	"S12000021"	"North Ayrshire"	352.311655	0	3.62215	4.755592	0	201.432985	562.122381
"2015"	"S12000050"	"North Lanarkshire"	59.434113	0	0	6.527661	0	149.006244	214.968018
"2015"	"S12000023"	"Orkney Islands"	185.644428	0	0.043537	1.235667	1.807578	0	188.73121
"2015"	"S12000048"	"Perth & Kinross"	564.42985	0	1000.550894	9.144845	0	27.631181	1601.75677
"2015"	"S12000038"	"Renfrewshire"	0.039268	0	0	3.939614	0	0	3.978882
"2015"	"S12000026"	"Scottish Borders"	1492.894115	0	2.362671	10.13921	0	6.241341	1511.637337
"2015"	"S12000027"	"Shetland Islands"	23.647389	0	0.073221	0.161904	0	0	23.882514
"2015"	"S12000028"	"South Ayrshire"	663.543491	0	2.428663	3.620368	0	29.251145	698.843668
"2015"	"S12000029"	"South Lanarkshire"	1760.522191	0	96.268287	9.331726	0	57.709	1923.831204
